iter	Logloss
0	0.6863066124
1	0.6798823028
2	0.6725535097
3	0.6668243735
4	0.6602760331
5	0.6540928581
6	0.6485223219
7	0.6416184223
8	0.6368130474
9	0.6331211392
10	0.6270751953
11	0.6215480502
12	0.617306891
13	0.6139004889
14	0.6103494714
15	0.6063201055
16	0.6024150317
17	0.5987084856
18	0.5953673663
19	0.5917810608
20	0.5854550347
21	0.5823745891
22	0.5787085588
23	0.5754920584
24	0.5729976548
25	0.5688170733
26	0.5657253878
27	0.563344886
28	0.5595898516
29	0.5556353093
30	0.5518780531
31	0.5475784727
32	0.5434614096
33	0.5404543499
34	0.537815919
35	0.5347987957
36	0.5323476199
37	0.5295165754
38	0.5283355386
39	0.523821551
40	0.521550442
41	0.5183707979
42	0.515268918
43	0.5126393091
44	0.5094071251
45	0.5073245455
46	0.5043093173
47	0.5005356913
48	0.497764473
49	0.494376205
50	0.4922103718
51	0.4894796694
52	0.4866780316
53	0.4851105913
54	0.4826656235
55	0.4810009125
56	0.4784095323
57	0.4759046077
58	0.4718663544
59	0.4693758717
60	0.467797551
61	0.4665870421
62	0.4639719732
63	0.4601196681
64	0.458238034
65	0.4560005792
66	0.4535900827
67	0.4514543096
68	0.4479726918
69	0.4459242892
70	0.4430044693
71	0.4413791959
72	0.4381726283
73	0.436471061
74	0.435223271
75	0.4333929679
76	0.430199568
77	0.4271644739
78	0.4258345741
79	0.4236339103
80	0.4212849064
81	0.4195583433
82	0.4172331261
83	0.4153406441
84	0.4131041696
85	0.4109477139
86	0.4086816367
87	0.4064403918
88	0.4056904566
89	0.4032558466
90	0.4018594877
91	0.4000437898
92	0.3982392011
93	0.396914235
94	0.3943196527
95	0.3932873483
96	0.3926619013
97	0.390183508
98	0.3888442307
99	0.3877215824
100	0.3856201172
101	0.3837822336
102	0.3824453742
103	0.3809545872
104	0.3777612527
105	0.3765753801
106	0.3754143725
107	0.3743759907
108	0.3727551609
109	0.3717468392
110	0.37008386
111	0.3690193062
112	0.3677329609
113	0.3666211931
114	0.3648223223
115	0.3641629924
116	0.362514357
117	0.3609552159
118	0.3585308328
119	0.3573892663
120	0.3562971356
121	0.3548604896
122	0.3535731967
123	0.3518925734
124	0.3495207629
125	0.348308261
126	0.3476892508
127	0.3467722531
128	0.3455805973
129	0.3443453542
130	0.3427104092
131	0.3409344757
132	0.34031772
133	0.3390977684
134	0.3379089552
135	0.3362765915
136	0.3353567511
137	0.3326755826
138	0.3306374397
139	0.3296711368
140	0.3279908076
141	0.3268405171
142	0.3256728113
143	0.3239870909
144	0.3226112513
145	0.3202614631
146	0.3190157316
147	0.3183414043
148	0.3170424467
149	0.3157188857
150	0.3149075559
151	0.3140903775
152	0.3133533159
153	0.3113198781
154	0.3099979507
155	0.3086639339
156	0.3070231076
157	0.3057359454
158	0.3050300549
159	0.3034731356
160	0.3014761294
161	0.2999772719
162	0.2978393424
163	0.2966496143
164	0.2946660371
165	0.2934992135
166	0.2919355633
167	0.2904723206
168	0.2890201544
169	0.2879872618
170	0.2865111782
171	0.2856045709
172	0.2848430364
173	0.2836752979
174	0.2819709206
175	0.2799285954
176	0.2785443912
177	0.2767382342
178	0.2757353364
179	0.2747145332
180	0.273601001
181	0.2727268717
182	0.2713844577
183	0.2695654597
184	0.2685677571
185	0.2674170419
186	0.2666572391
187	0.2659980071
188	0.2649125256
189	0.2637116393
190	0.2621351483
191	0.2613783842
192	0.2598870092
193	0.2589442153
194	0.2581765381
195	0.2571256258
196	0.2563506623
197	0.2555309353
198	0.2547020759
199	0.2534480616
