iter	Passed	Remaining
0	30	6140
1	58	5785
2	85	5625
3	112	5508
4	140	5481
5	168	5442
6	195	5399
7	223	5371
8	250	5324
9	277	5273
10	305	5257
11	333	5225
12	360	5189
13	388	5165
14	415	5130
15	446	5135
16	475	5118
17	502	5085
18	529	5045
19	555	5003
20	583	4970
21	611	4951
22	642	4946
23	668	4905
24	694	4860
25	720	4822
26	747	4786
27	773	4749
28	797	4703
29	823	4664
30	848	4628
31	875	4596
32	903	4573
33	937	4577
34	967	4560
35	995	4535
36	1022	4504
37	1049	4474
38	1076	4444
39	1103	4413
40	1128	4376
41	1155	4347
42	1182	4315
43	1208	4283
44	1234	4250
45	1259	4216
46	1287	4190
47	1312	4157
48	1338	4124
49	1364	4092
50	1390	4061
51	1416	4030
52	1442	4000
53	1468	3969
54	1494	3939
55	1519	3908
56	1546	3878
57	1572	3849
58	1597	3818
59	1625	3792
60	1650	3761
61	1674	3727
62	1700	3697
63	1727	3670
64	1752	3639
65	1778	3611
66	1805	3583
67	1830	3553
68	1857	3526
69	1884	3499
70	1909	3468
71	1935	3441
72	1962	3413
73	1989	3387
74	2015	3359
75	2042	3332
76	2068	3304
77	2094	3275
78	2121	3249
79	2147	3220
80	2173	3192
81	2199	3165
82	2227	3139
83	2253	3111
84	2279	3083
85	2306	3057
86	2334	3032
87	2360	3004
88	2385	2975
89	2412	2948
90	2438	2921
91	2465	2893
92	2491	2866
93	2517	2838
94	2543	2811
95	2573	2787
96	2603	2764
97	2629	2736
98	2656	2710
99	2683	2683
100	2709	2655
101	2734	2627
102	2760	2599
103	2786	2572
104	2812	2544
105	2841	2519
106	2866	2491
107	2892	2464
108	2919	2437
109	2945	2409
110	2971	2382
111	2999	2357
112	3034	2336
113	3064	2311
114	3094	2287
115	3120	2259
116	3146	2232
117	3172	2204
118	3199	2177
119	3224	2149
120	3250	2122
121	3276	2094
122	3301	2067
123	3328	2040
124	3355	2013
125	3383	1986
126	3409	1959
127	3434	1932
128	3461	1905
129	3486	1877
130	3512	1849
131	3538	1822
132	3565	1795
133	3589	1767
134	3615	1740
135	3641	1713
136	3668	1686
137	3693	1659
138	3724	1634
139	3756	1609
140	3786	1584
141	3817	1559
142	3847	1533
143	3877	1507
144	3907	1482
145	3937	1456
146	3967	1430
147	3999	1405
148	4030	1379
149	4063	1354
150	4094	1328
151	4125	1302
152	4155	1276
153	4186	1250
154	4218	1224
155	4249	1198
156	4279	1171
157	4309	1145
158	4340	1119
159	4371	1092
160	4404	1066
161	4439	1041
162	4474	1015
163	4503	988
164	4534	961
165	4565	935
166	4596	908
167	4628	881
168	4659	854
169	4692	828
170	4724	801
171	4754	774
172	4786	747
173	4818	720
174	4849	692
175	4880	665
176	4909	637
177	4940	610
178	4972	583
179	5004	556
180	5038	528
181	5070	501
182	5105	474
183	5151	447
184	5186	420
185	5219	392
186	5250	365
187	5281	337
188	5314	309
189	5345	281
190	5376	253
191	5408	225
192	5439	197
193	5470	169
194	5501	141
195	5531	112
196	5563	84
197	5594	56
198	5624	28
199	5658	0
